Gene	FDR
hsa.mir.449b	8.15587795987813e-10
hsa.mir.449c	3.38415725945423e-08
hsa.mir.450a.1	3.37830280914011e-07
hsa.mir.450a.2	5.1566777887502e-07
hsa.mir.450b	8.95790802601663e-05
hsa.mir.451	0.0368782884701744
hsa.mir.452	5.35358130420069e-48
hsa.mir.454	4.86973000840184e-53
hsa.mir.455	4.25880079398932e-66
hsa.mir.466	0.00277450051645391
hsa.mir.483	3.78725768358314e-16
hsa.mir.484	8.85445865494891e-56
hsa.mir.485	1.55745045708098e-10
hsa.mir.486	0.0334836723031535
hsa.mir.487a	2.86137784674737e-14
hsa.mir.487b	3.70906332049259e-12
hsa.mir.488	8.14293465536925e-20
hsa.mir.489	0.00081589517319968
hsa.mir.490	0.276406205001602
hsa.mir.491	1.01566075721034e-28
hsa.mir.492	0.0307152813565768
hsa.mir.493	1.13351753598148e-10
hsa.mir.494	5.39823793081538e-09
hsa.mir.495	3.02157339466839e-12
hsa.mir.496	5.69201428768956e-16
hsa.mir.497	1.84008983326407e-08
hsa.mir.498	0.00480182371450923
hsa.mir.499	0.00569695390571857
hsa.mir.500a	1.07258404684414e-38
hsa.mir.500b	2.09620494487184e-40
hsa.mir.501	7.3254458562474e-45
hsa.mir.502	3.23002230017048e-41
hsa.mir.503	1.09212404632536e-23
hsa.mir.504	7.64301706353715e-09
hsa.mir.505	2.2518551236258e-80
hsa.mir.506	0.000650599946283615
hsa.mir.507	0.0414367863384612
hsa.mir.508	0.35695001406784
hsa.mir.509.1	7.7778532003755e-19
hsa.mir.509.2	5.90699135446591e-20
hsa.mir.509.3	1.6730966146235e-20
hsa.mir.510	0.312487570089237
hsa.mir.511.1	1.32369240455465e-22
hsa.mir.511.2	6.1043073522572e-24
hsa.mir.512.1	4.54583721087074e-07
hsa.mir.512.2	4.04524954993961e-06
hsa.mir.513a.1	0.00595296761732879
hsa.mir.513a.2	0.281613182150789
hsa.mir.513b	0.0789838972643134
hsa.mir.513c	0.375155585690234
hsa.mir.514.1	0.0633882472592015
hsa.mir.514.2	0.0231364159431442
hsa.mir.514.3	0.612304391271341
hsa.mir.514b	0.115136917833546
hsa.mir.515.1	0.00617226144474874
hsa.mir.515.2	0.00837820597924743
hsa.mir.516a.1	2.22084209348656e-28
hsa.mir.516a.2	5.03908876389026e-31
hsa.mir.516b.1	1.51691485015823e-07
hsa.mir.516b.2	2.2944473694736e-07
hsa.mir.517a	5.48988447936688e-09
hsa.mir.517b	5.48504981095424e-09
hsa.mir.517c	0.000205942315359343
hsa.mir.518a.1	8.84505640833986e-11
hsa.mir.518a.2	8.97686285402525e-11
hsa.mir.518b	7.17612730718871e-09
hsa.mir.518c	2.68839389884858e-06
hsa.mir.518d	0.00374669794019148
hsa.mir.518e	4.44921659511041e-19
hsa.mir.518f	7.48129154365308e-06
hsa.mir.519a.1	1.20136068873897e-32
hsa.mir.519a.2	3.11524544417708e-28
hsa.mir.519b	0.00320496079232741
hsa.mir.519c	4.60280058740331e-07
hsa.mir.519d	0.000657798619286409
hsa.mir.519e	0.0859677112745425
hsa.mir.520a	4.03719345967702e-12
hsa.mir.520b	4.87006138039614e-16
hsa.mir.520c	3.18293434033786e-05
hsa.mir.520d	1.84378388414248e-05
hsa.mir.520e	1.85348635291707e-08
hsa.mir.520f	1.44135612316942e-06
hsa.mir.520g	2.60235307835577e-05
hsa.mir.520h	0.000746203333510795
hsa.mir.521.1	3.36714196209762e-23
hsa.mir.521.2	3.877645303263e-23
hsa.mir.522	1.05888832767232e-36
hsa.mir.523	0.0278331621107835
hsa.mir.524	0.102184849719922
hsa.mir.525	7.28999193177396e-05
hsa.mir.526a.1	0.537121200658765
hsa.mir.526a.2	0.263215165623953
hsa.mir.526b	8.79386036616862e-12
hsa.mir.527	3.65974431248269e-17
hsa.mir.532	1.33184002840832e-42
hsa.mir.539	1.45018926843707e-33
hsa.mir.541	2.48778038689821e-09
hsa.mir.542	1.864914416782e-18
hsa.mir.543	1.16347855122582e-09
hsa.mir.544	0.8876842174877
hsa.mir.544b	0.330175057519286
